Item Name,Item MRP,Quantity,Expiry Date,Discount Value,GST %,GST Value,Amount,Billing Date
PROTEKT CAP 10 S,50,1.5,"June, 2023",0,12,8.04,75,11-Jan-22
SYNOCID SYP (L) 170ML,90,1,"March, 2023",0,12,9.64,90,11-Jan-22
S-ONAZOLE-DSR CAP,87,2,"April, 2022",0,12,18.64,174,11-Jan-22
NEXONAC-SP TAB,89.54,2,"September, 2023",0,12,19.18,179.08,11-Jan-22
DOXT-SL CAP 10 SF,100,2,"May, 2023",20,12,19.28,180,11-Jan-22
ENZOMAC PLUS 10 SBOX,256,1,"April, 2024",25.6,12,24.68,230.4,11-Jan-22
POLYCLAV-625 TAB 10 SA,152.29,1.5,"March, 2023",22.84,12,22.02,205.6,11-Jan-22
IBUGESIC SYP 100ML,21.28,1,"September, 2024",2.13,12,2.06,19.15,11-Jan-22
RANTAC SYP 100ML,120.96,1,"February, 2022",12.1,12,11.66,108.86,11-Jan-22
GLYCIPHAGE SR 500 10 S,21.3,2,"September, 2023",4.26,12,4.1,38.34,11-Jan-22
ALDO-AT 50 TAB 10 S,43.85,2,"October, 2023",8.77,12,8.46,78.93,11-Jan-22
SPENZO-0.5 TAB 10 SF,41.5,3,"July, 2023",12.45,12,12,112.05,11-Jan-22
PRUVICT 1 MG TAB 10 S,198,2,"January, 2023",39.6,12,38.18,356.4,11-Jan-22
RANCIL 5 TAB 10 S,65,3,"March, 2023",19.5,12,18.8,175.5,11-Jan-22
SENSODENT KF(L) 100GM,127,1,"September, 2025",12.7,12,12.24,114.3,11-Jan-22
FLEXON TAB 15 S,24.05,0.133,"July, 2024",0.32,12,0.3,2.89,11-Jan-22
BILAZAP-M TAB,152,1,"September, 2022",15.2,12,14.66,136.8,11-Jan-22
OTRIVIN FAST RELI 10ML,96.8,1,"January, 2024",9.68,12,9.34,87.12,11-Jan-22
FAMOCID 20MG TAB 14 s,4.5,0.143,"January, 2024",0.06,12,0.06,0.58,11-Jan-22
MONOTAX CV 200 TAB,353.4,1,"June, 2022",35.34,12,34.08,318.06,11-Jan-22
TELMIKAA AM TAB 10 S,140.8,1,"April, 2023",14.08,12,13.58,126.72,11-Jan-22
CRIZ-M TAB 10 SA,144,1,"August, 2023",14.4,12,13.88,129.6,11-Jan-22
AMBRODIL SYRUP 100ML,63.45,1,"May, 2023",6.35,12,6.12,57.1,11-Jan-22
AZILIDE-500 TAB,119.5,2,"May, 2023",23.9,12,23.04,215.1,11-Jan-22
FAMOCID 40MG TAB 14 S,8.75,2,"June, 2024",1.75,12,1.68,15.75,11-Jan-22
ZECAL MAX TAB 30 SBOX,383,1,"February, 2022",38.3,12,36.94,344.7,11-Jan-22
CRIZ-M SYP 60ML,88,1,"October, 2022",8.8,12,8.48,79.2,11-Jan-22
CTD-12.5 TAB 15 S,112.5,1,"February, 2024",11.25,12,10.84,101.25,11-Jan-22
FOLVITE TAB 45 SBY,69.14,1,"January, 2022",6.91,12,6.66,62.23,11-Jan-22
NEFROSAVE TAB 15 S,199,2,"July, 2023",39.8,12,38.38,358.2,11-Jan-22
GABAPIN-100 TAB,119,1,"July, 2023",11.9,12,11.48,107.1,11-Jan-22
FERISOME TAB,268,1,"January, 2022",26.8,18,36.8,241.2,11-Jan-22
PRAZOPRESS XL 5 TAB 30 S,415,1,"May, 2023",41.5,12,40.02,373.5,11-Jan-22
REVLAMER-800 TAB,175,3,"January, 2022",52.5,12,50.62,472.5,11-Jan-22
TIDE 20 TABS 10 S,90.1,2,"August, 2022",18.02,12,17.38,162.18,11-Jan-22
ECOSPRIN-AV 75 CAP 15 S,55.16,1,"January, 2023",5.52,12,5.32,49.64,11-Jan-22
DISPOVAN SYRINGE 2ML,4.5,1,"February, 2025",0,0,0,4.5,11-Jan-22
FERTIGYN HP-5000IU 1AMP,439.26,1,"May, 2024",43.93,5,18.82,395.33,11-Jan-22
DOXY-1 L-DR FORTE 10 SF,95.25,1,"March, 2023",9.53,12,9.18,85.72,12-Jan-22
GRILINCTUS BM SYP 100ML,96.68,1,"January, 2022",9.67,12,9.32,87.01,12-Jan-22
SCAVISTA-12 TAB,85,2.5,"March, 2023",21.25,12,20.5,191.25,12-Jan-22
SIDOSE TAB,25.92,0.333,"March, 2024",0.86,12,0.84,7.78,12-Jan-22
TELMIKIND-20MG 10 S,21.51,2,"May, 2023",4.3,12,4.14,38.72,12-Jan-22
BECOSULES CAP 20 S,45.67,1,"February, 2022",4.57,12,4.4,41.1,12-Jan-22
KOFLET SYP 100ML,80,1,"April, 2024",8,12,7.72,72,12-Jan-22
LEZYNCET 5MG TAB 10 SBW,77.65,3,"October, 2022",23.3,12,22.46,209.65,12-Jan-22
RANTAC DOM TAB,50.51,2,"January, 2022",10.1,12,9.74,90.92,12-Jan-22
MONTEK LC TAB 10 SA,197,3,"January, 2024",59.1,12,56.98,531.9,12-Jan-22
CORDARONE-100 TAB,95.66,1,"September, 2024",9.57,12,9.22,86.09,12-Jan-22
DYTOR PLUS 5MG TAB 15 S,71.87,1,"August, 2023",7.19,12,6.94,64.68,12-Jan-22
TAYO 60K TAB,216.53,1,"February, 2022",21.65,12,20.88,194.88,12-Jan-22
ETIZOLA 0.5 TAB,88.5,1,"April, 2024",8.85,12,8.54,79.65,12-Jan-22
TELMIKIND- 40 TAB 10 S,34.85,1,"July, 2023",3.49,12,3.36,31.36,12-Jan-22
ROMILAST(L)10 TAB 10 S,155.9,2,"May, 2023",31.18,12,30.06,280.62,12-Jan-22
METOSARTAN-50 TAB 10 SF,196,1,"September, 2023",19.6,12,18.9,176.4,12-Jan-22
NEXPRO RD 40 CAP 10 SF,154.45,1,"July, 2023",15.45,12,14.9,139,12-Jan-22
ECOSPRIN-AV 75/20 CAP 10 SF,35.76,1,"February, 2023",3.58,12,3.44,32.18,12-Jan-22
GP-1 TAB 10 S,40.1,1,"August, 2023",4.01,12,3.86,36.09,12-Jan-22
DOXT-SL CAP 10 SF,100,1,"July, 2023",10,12,9.64,90,12-Jan-22
CALPOL 650 TAB 15 S,30.91,1,"August, 2024",3.09,12,2.98,27.82,12-Jan-22
LEZYNCET 5MG TAB 10 SBW,77.65,0.8,"September, 2022",6.21,12,6,55.91,12-Jan-22
DOXT-SL CAP 10 SF,100,1,"July, 2023",10,12,9.64,90,12-Jan-22
CELIN 500MG TAB 25 S,38.64,1,"April, 2023",3.86,12,3.72,34.78,12-Jan-22
ASCORIL + EXP 200ML,182,1,"August, 2023",18.2,12,17.56,163.8,12-Jan-22
ASCORIL EXPT 120ML,124,1,"June, 2023",12.4,12,11.96,111.6,12-Jan-22
SAVLON FRESH SANITIZER 100ML,50,1,,0,18,7.62,50,12-Jan-22
FAMTAC 40MG TAB 14 S,29.12,1,"August, 2023",2.91,12,2.8,26.21,12-Jan-22
ZINCONIA 50MG TAB 10 S,55.05,1,"October, 2023",5.51,12,5.3,49.54,12-Jan-22
LUMIA 60K CAP,265.19,1,"May, 2023",26.52,12,25.58,238.67,12-Jan-22
MONTEK LC TAB 10 SA,197,0.7,"January, 2024",13.79,12,13.3,124.11,12-Jan-22
SCAVISTA-12 TAB,85,2.5,"March, 2023",21.25,12,20.5,191.25,12-Jan-22
ENZOFLAM TAB 10 SBB,139,1,"July, 2023",13.9,12,13.4,125.1,12-Jan-22
ZENTOP TAB 15 S ##,106,0.333,"October, 2022",3.53,12,3.4,31.8,12-Jan-22
MOX CLAV 625MG 10 S,201.66,1.5,"July, 2023",30.25,12,29.16,272.24,12-Jan-22
MET XL 50MG TAB,129.65,1,"July, 2024",12.97,12,12.5,116.68,12-Jan-22
AZTOR-ASP 75 CAP 10 SF,35.25,3,"March, 2023",10.58,12,10.2,95.17,12-Jan-22
CILACAR-5 TAB 10 S,64.33,3,"June, 2024",19.3,12,18.6,173.69,12-Jan-22
RANTAC 150 TAB 30 S,36.79,1,"March, 2023",3.68,12,3.54,33.11,12-Jan-22
AMBROLITE SYP 100ML,75,1,"June, 2023",7.5,12,7.24,67.5,12-Jan-22
CALPOL 650 TAB 15 S,30.91,0.4,"August, 2024",1.24,12,1.2,11.12,12-Jan-22
MONTEK LC TAB 10 SA,197,0.5,"January, 2024",9.85,12,9.5,88.65,12-Jan-22
MACBERY-XT 100ML,99,1,"May, 2022",9.9,12,9.54,89.1,12-Jan-22
OMNACORTIL SYP. 60 ML,28.89,1,"March, 2023",2.89,12,2.78,26,12-Jan-22
BECOSULES Z CAP,45.96,1.4,"October, 2022",6.43,12,6.2,57.91,12-Jan-22
VERMISOL 150MG TAB 1 S,33.41,3,"February, 2022",10.02,12,9.66,90.21,12-Jan-22
NEURO D3 60K TAB,265.19,1,"April, 2023",26.52,12,25.58,238.67,12-Jan-22
GLYCIPHAGE G2 TAB 10 S,102.09,3,"October, 2023",30.63,12,29.54,275.64,12-Jan-22
TENIVA TAB,248,1,"August, 2022",24.8,12,23.92,223.2,12-Jan-22
REPACE-25 TAB 10 S,41.5,1,"April, 2024",4.15,12,4,37.35,12-Jan-22
THYROX 75 TAB 100 S,145.25,1,"July, 2023",14.53,12,14,130.72,12-Jan-22
DUBINOR OINT 30GM,235.5,1,"August, 2023",23.55,12,22.7,211.95,12-Jan-22
IMMU C PLUS,70,1,"October, 2022",7,18,9.62,63,12-Jan-22
NUHENZ TAB,245,1,"January, 2023",24.5,12,23.62,220.5,12-Jan-22
AMBROLITE SYP 100ML,75,1,"June, 2023",7.5,12,7.24,67.5,12-Jan-22
COSCOPIN PLUS SYP 100ML,106.7,1,"October, 2022",10.67,12,10.28,96.03,12-Jan-22
DOXT-SL CAP 10 SF,100,1,"July, 2023",10,12,9.64,90,12-Jan-22
FLUCOLD CLEAR TAB,126.4,1,"March, 2023",12.64,12,12.18,113.76,12-Jan-22
CETAPHIL GENT. SKIN LOTION 250,563,1,"September, 2023",56.3,18,77.3,506.7,12-Jan-22
CEPODEM XP 325 10 S BOX,364,1,"February, 2022",36.4,12,35.1,327.6,12-Jan-22
TRAKLOT TAB 6 S,108.9,0.333,"March, 2024",3.63,5,1.56,32.67,12-Jan-22
CALPOL 650 TAB 15 S,30.91,0.6,"August, 2024",1.86,12,1.78,16.69,12-Jan-22
PEPTARD-D CAP 10 SF,171,1,"March, 2023",17.1,12,16.48,153.9,12-Jan-22
TELEKAST-F TAB 10 SA,203,1,"April, 2023",20.3,12,19.58,182.7,12-Jan-22
AMLOKIND-AT TAB,40.65,1,"April, 2023",4.07,12,3.92,36.58,12-Jan-22
MONOCEF O CV 200 TAB,269.5,1,"June, 2022",26.95,12,25.98,242.55,12-Jan-22
CHERICOF SYP(L) 100ML,108,1,"August, 2023",10.8,12,10.42,97.2,12-Jan-22
ZEVA TAB,105,1,"April, 2023",10.5,12,10.12,94.5,12-Jan-22
WALAPHAGE 500MG TAB 15 S,22.07,4,"June, 2024",8.83,12,8.52,79.45,12-Jan-22
WIKORYL ORAL SUSP 60ML,69.7,1,"June, 2024",6.97,12,6.72,62.73,12-Jan-22
EMANZEN FORTE TAB 10 S,170.2,1,"January, 2023",17.02,12,16.42,153.18,12-Jan-22
RABIPLUS-D CAP,225.8,1,"May, 2023",22.58,12,21.78,203.22,12-Jan-22
P-ZOLE DSR 10CAP,106.2,1,"September, 2024",10.62,12,10.24,95.58,12-Jan-22
LULIDEX CREAM 20GM,199,1,"April, 2023",19.9,12,19.18,179.1,12-Jan-22
TECZINE 5MG TAB 10 S,88,1,"June, 2023",8.8,12,8.48,79.2,12-Jan-22
EPISOFT CLEN LOTION 125ML,330,1,"June, 2024",33,18,45.3,297,12-Jan-22
TUFTINA-100 TAB,110,1,"January, 2023",11,12,10.6,99,12-Jan-22
PANTAKIND TAB,57.97,1,"June, 2023",5.8,12,5.58,52.17,12-Jan-22
TIGATEL 80 TAB,112.77,1,"August, 2023",11.28,12,10.88,101.49,12-Jan-22
BEVON SYP 200ML,158.85,1,"February, 2023",15.89,12,15.32,142.96,12-Jan-22
RIVOTRIL 0.25 TAB,20.48,2,"July, 2023",4.1,12,3.94,36.86,12-Jan-22
PANTODAC 40 TAB 15 S,198.3,1,"March, 2024",19.83,12,19.12,178.47,12-Jan-22
URIMAX-D TAB 15 S,525.74,1,"September, 2023",52.57,12,50.7,473.17,12-Jan-22
NUPENTA-40 TAB 10 SA,50,1,"May, 2024",5,12,4.82,45,12-Jan-22
SUPRADYN TAB 15 S,50,1,"January, 2023",5,12,4.82,45,12-Jan-22
CILACAR-20MG 10 S,161.88,1,"May, 2023",16.19,12,15.6,145.69,12-Jan-22
MACBERY-XT 100ML,99,1,"May, 2022",9.9,12,9.54,89.1,12-Jan-22
COSKLOT PLUS TAB 10 SBP,253.02,1.4,"February, 2023",35.42,12,34.16,318.81,12-Jan-22
DISPOVAN SYRINGE 5ML,7.5,1,,0,0,0,7.5,12-Jan-22
FOLOUP 200MG TAB,153,1,"August, 2022",15.3,12,14.76,137.7,12-Jan-22
BOTROCLOT DROP,140.4,1,"March, 2023",14.04,12,13.54,126.36,12-Jan-22
PAUSE INJ 5ML,78.55,1,"April, 2024",7.86,5,3.36,70.69,12-Jan-22
AMBROLITE-S LIQ 100ML,97,1,"February, 2022",9.7,12,9.36,87.3,12-Jan-22
ZERODOL-SP TAB 10 SA,107.6,1,"March, 2024",10.76,12,10.38,96.84,12-Jan-22
OMNACORTIL-10mg TAB 10 S,10.89,1,"June, 2025",1.09,12,1.06,9.8,12-Jan-22
CALPOL 650 TAB 15 S,30.91,0.267,"August, 2024",0.82,12,0.8,7.42,12-Jan-22
REVIDOX-LB TAB,75.9,1,"April, 2023",7.59,12,7.32,68.31,12-Jan-22
CITAFEEL FORTE,122,2,"August, 2023",24.4,12,23.52,219.6,12-Jan-22
GI CURE DSR TAB,125,2,"May, 2023",25,12,24.1,225,12-Jan-22
GLUCOGURD M1 FORTE TAB,89,2,"February, 2022",17.8,12,17.16,160.2,12-Jan-22
MAXPRESS XL 50 TAB,64.5,2,"September, 2023",12.9,12,12.44,116.1,12-Jan-22
N-VESTIN A TAB,69,2,"April, 2023",13.8,12,13.3,124.2,12-Jan-22
PROSAL-S CAP,98,1,"February, 2022",9.8,12,9.44,88.2,12-Jan-22
MELZAP MD 0.50 TAB,51.95,1,"February, 2022",5.2,12,5,46.75,12-Jan-22
PAN-D CAP 15 S,190,0.333,"September, 2023",6.33,12,6.1,57,12-Jan-22
CETZINE TAB,27.69,0.267,"August, 2024",0.74,12,0.72,6.64,12-Jan-22
PARASAFE-650 TAB 10 SBOX,20.61,1,"June, 2024",2.06,12,1.98,18.55,12-Jan-22
GLUCRETA TAB 10TAB,113.7,2,"May, 2023",22.74,12,21.92,204.66,12-Jan-22
COLIMEX TAB 10 S,36,0.2,"July, 2024",0.72,12,0.7,6.48,12-Jan-22
MACBERY SYP 100ML,99,1,"March, 2023",9.9,12,9.54,89.1,12-Jan-22
SAFEVIT SYP 200ML,115,1,"February, 2022",11.5,18,15.78,103.5,12-Jan-22
TENELIVIO MF 500 TAB 10 S,115.5,1,"October, 2022",11.55,12,11.14,103.95,12-Jan-22
GEPRIDE M-2 TAB 10 S,101.5,1,"March, 2023",10.15,12,9.78,91.35,12-Jan-22
RANTAC 150 TAB 30 S,36.79,1,"March, 2023",3.68,12,3.54,33.11,12-Jan-22
FORACORT 0.5 RESPULES 2ML,60.2,5,"January, 2023",30.1,12,29.02,270.9,12-Jan-22
TEMSAN H TAB 15 S,86.6,1,"May, 2023",8.66,12,8.36,77.94,12-Jan-22
RABICRIS-DSR TAB 10 S,73.7,1,"April, 2023",7.37,12,7.1,66.33,12-Jan-22
ZADU 500 TAB,119.5,1,"July, 2023",11.95,12,11.52,107.55,12-Jan-22
ETOSA-P TAB,63,1,"October, 2022",0,12,6.76,63,12-Jan-22
COECORTT-6 TAB,126,1,"August, 2022",0,12,13.5,126,12-Jan-22
GEN D3 NANO TAB,240,1,"July, 2023",0,12,25.72,240,12-Jan-22
VOLITRA PLUS GEL 50GM,212,1,"March, 2023",0,12,22.72,212,12-Jan-22
CYRA-D CAP 10 SF,43,2,"June, 2023",8.6,12,8.3,77.4,12-Jan-22
CILACAR-5 TAB 10 S,64.33,1,"June, 2024",6.43,12,6.2,57.9,12-Jan-22
KETO GOLD PREMIUM 100GM,230,1,"March, 2023",9.2,18,33.68,220.8,12-Jan-22
CINEMAX TAB,119.5,2,"May, 2023",23.9,12,23.04,215.1,12-Jan-22
BETONIN AST SYP 200ML,160.72,1,"February, 2023",16.07,12,15.5,144.65,12-Jan-22
LUPITUSS SF SYP. 100ML,139.5,1,"January, 2022",13.95,12,13.46,125.55,12-Jan-22
FAMCIMAC-500 3 S,258.5,5,"June, 2022",129.25,12,124.64,1163.25,12-Jan-22
HERPEX OINT 5 GM,82.15,1,"October, 2022",8.22,12,7.92,73.93,12-Jan-22
PROHANCE D VANILA 400GM,675,1,"October, 2022",27,12,69.42,648,12-Jan-22
LEVOSIZ-5 TAB,23.25,0.333,"May, 2023",0.78,12,0.74,6.97,12-Jan-22
TAZLOC-CT 40mg TAB 10 SF,137.21,1,"May, 2023",13.72,12,13.24,123.49,12-Jan-22
PANTOROX-40 TAB,62,1.2,"July, 2023",0,12,7.98,74.4,12-Jan-22
ETOSA-P TAB,63,1.2,"October, 2022",0,12,8.1,75.6,12-Jan-22
EVITE-400 TAB,90,1.2,"September, 2022",0,12,11.58,108,12-Jan-22
STAMLO-5 TAB 30 S,87.56,1,"July, 2024",0,12,9.38,87.56,12-Jan-22
FEBUMAC-40 TAB 10 S BOX,130,1.2,"May, 2024",0,12,16.72,156,12-Jan-22
B. PROTIN CHOCOLATE 500GM,525,1,"June, 2023",0,18,80.08,525,12-Jan-22
CHYMORAL FORTE 20 S,405.2,0.5,"April, 2023",20.26,12,19.54,182.34,12-Jan-22
DAZIT-5 TAB,147,1,"February, 2023",14.7,12,14.18,132.3,12-Jan-22
ZIMBA CREAM 10GM,225,1,"January, 2023",22.5,12,21.7,202.5,12-Jan-22
CLOP-G CREAM 25GM,29.4,1,"May, 2023",2.94,12,2.84,26.46,12-Jan-22
PAN IV INJ 40MG,49.95,2,"September, 2023",9.99,12,9.64,89.91,12-Jan-22
ZOFER INJ. 2ML,13.06,2,"April, 2024",2.61,12,2.52,23.51,12-Jan-22
TELMA 20 TAB 30 S,122.68,1,"July, 2024",12.27,12,11.82,110.41,12-Jan-22
ESLO-5 TAB,141.85,1,"February, 2024",14.19,12,13.68,127.66,12-Jan-22
ASCORIL + EXP 200ML,182,1,"August, 2023",18.2,12,17.56,163.8,12-Jan-22
DOLOPAR TAB 10 S,45,1,"January, 2023",4.5,12,4.34,40.5,12-Jan-22
MONTEMED-LC TAB 10 SF,135,1,"April, 2023",13.5,12,13.02,121.5,12-Jan-22
MOX CLAV DROPS 10ML,87,1,"May, 2023",8.7,12,8.38,78.3,12-Jan-22
SULPITAC 100 10 S,136,1,"April, 2023",13.6,12,13.12,122.4,12-Jan-22
CHYMORAL-BR TAB 10 SBM,247.8,1,"May, 2023",24.78,12,23.9,223.02,12-Jan-22
RAPICLAV 625 TAB,201.71,0.9,"March, 2023",18.15,12,17.5,163.39,12-Jan-22
METROGYL-ER TAB 10 S,62.19,1,"September, 2023",6.22,12,6,55.97,12-Jan-22
KETOROL DT TAB,133.5,0.133,"August, 2024",1.78,12,1.72,16.02,12-Jan-22
VOLINI JOINT XPERT GEL 20GM,89,1,"June, 2023",8.9,12,8.58,80.1,12-Jan-22
DOXT-SL CAP 10 SF,100,2,"July, 2023",20,12,19.28,180,12-Jan-22
ZINCONIA 50MG TAB 10 S,55.05,2,"February, 2022",11.01,12,10.62,99.09,12-Jan-22
MONTEK LC TAB 10 SA,197,1.4,"January, 2024",27.58,12,26.6,248.22,12-Jan-22
SCAVISTA-12 TAB,85,5,"March, 2023",42.5,12,40.98,382.5,12-Jan-22
ZERODOL-SP TAB 10 SA,107.6,0.6,"March, 2024",6.46,12,6.22,58.1,12-Jan-22
O2 TAB 10 S,149.75,0.6,"July, 2024",8.99,12,8.66,80.86,12-Jan-22
SUCRAL-ANO CREAM 20GM,125,1,"February, 2024",12.5,12,12.06,112.5,12-Jan-22
CHYMORAL-PLUS TAB 15 S,164.55,0.667,"July, 2022",10.97,12,10.58,98.73,12-Jan-22
DALACIN-C 300mg CAP10 S,242.64,1,"January, 2026",24.26,5,10.4,218.38,12-Jan-22
TENLIMAC 20 TAB 10 S,75.5,1,"June, 2023",7.55,12,7.28,67.95,12-Jan-22
CORMUZIK CREAM 10GM,245.5,1,"October, 2022",24.55,12,23.68,220.95,12-Jan-22
NMF E CREAM 150GM,371.8,1,"February, 2023",37.18,18,51.04,334.62,12-Jan-22
LOX-2% JELLY 30GM,35.5,1,"April, 2022",3.55,12,3.42,31.95,12-Jan-22
STERNON G GEL 20GM,86,1,"July, 2023",8.6,12,8.3,77.4,12-Jan-22
ATARAX 10MG TAB 15 S,43.56,0.667,"May, 2024",2.9,12,2.8,26.14,12-Jan-22
PANBLOC D TAB,140,1,"October, 2022",14,12,13.5,126,12-Jan-22
SOFIBAR SYNDET BAR,155,1,"August, 2023",6.2,18,22.7,148.8,12-Jan-22
SWICH DROP 25MG 10ML,80,1,"January, 2023",8,12,7.72,72,12-Jan-22
MAXTRA DROP 15ML,75.8,1,"October, 2023",7.58,12,7.3,68.22,12-Jan-22
CLAVAM BID DRY SYP 30ML,60.8,1,"February, 2023",6.08,12,5.86,54.72,12-Jan-22
GLUCON-D 100GM,29,1,,0,18,4.42,29,12-Jan-22
UPRISE-D3 SYP 30ML,78.96,1,"October, 2022",7.9,12,7.62,71.06,12-Jan-22
TONOFERON DROP 15ML,83,2,"October, 2022",16.6,12,16,149.4,12-Jan-22
NOVOFINE NEEDLE 0.25X6MM,16.61,4,"March, 2026",0,12,7.12,66.44,12-Jan-22
DIGENE (MINT) TAB 15 S,19.96,1,"February, 2024",2,12,1.92,17.96,12-Jan-22
ENERZEST POWDER 50GM,35,1,"September, 2022",3.5,18,4.8,31.5,12-Jan-22
SIGNOFLAM TAB 10 SBOX,113.25,0.5,"March, 2023",5.66,12,5.46,50.97,12-Jan-22
RANTAC 150 TAB 30 S,36.79,0.167,"March, 2023",0.61,12,0.6,5.52,12-Jan-22
FLEXON TAB 15 S,24.05,0.333,"July, 2024",0.8,12,0.78,7.22,12-Jan-22
AMBRODIL S SYP 100ML,27.6,1,"March, 2024",2.76,12,2.66,24.84,12-Jan-22
SORBITRATE 5MG TAB 50 S,42,0.12,"July, 2024",0.5,12,0.48,4.54,12-Jan-22
MELZAP-0.5 MD TAB 10 S,51.95,1,"February, 2022",5.2,12,5,46.75,12-Jan-22
PYRIGESIC 650 TAB,30.91,0.2,"August, 2024",0.62,12,0.6,5.56,12-Jan-22
LUPITUSS SYP 100ML,130.7,1,"February, 2022",13.07,12,12.6,117.63,12-Jan-22
BEVON CAP 15 S,120.75,1,"February, 2023",12.08,12,11.64,108.67,12-Jan-22
UT JOY SUSPENSION 100ML,186,1,"January, 2023",18.6,18,25.54,167.4,13-Jan-22
ALEX SYSP(SUGER FREE) 100ML,118,1,"January, 2023",11.8,12,11.38,106.2,13-Jan-22
DESVAL-ER 250 TAB,82.94,1,"August, 2023",8.29,12,8,74.65,13-Jan-22
PRAZTAC D TAB 10 S,127.05,1,"July, 2022",12.71,12,12.26,114.34,13-Jan-22
NAPROSYN 250MG 15 S,58,1,"June, 2024",5.8,12,5.6,52.2,13-Jan-22
CORBIS 1.25 TAB,49.45,1,"June, 2023",4.95,12,4.76,44.5,13-Jan-22
S-ONAZOLE-DSR CAP,87,2,"April, 2022",0,12,18.64,174,13-Jan-22
COECORTT-6 TAB,126,2,"August, 2022",0,12,27,252,13-Jan-22
SPORIDEX 500MG CAP 10 S,194,0.6,"May, 2023",11.64,12,11.22,104.76,13-Jan-22
NEXITO-FORTE TAB 10 SF,153,2,"August, 2023",30.6,12,29.5,275.4,13-Jan-22
RAB - D CAP 10 SA,92.17,1,"July, 2023",9.22,12,8.88,82.95,13-Jan-22
DUB-5 TAB 10 S BOX,57.35,2,"September, 2024",11.47,12,11.06,103.23,13-Jan-22
DOXT-SL CAP 10 SF,100,1,"July, 2023",10,12,9.64,90,13-Jan-22
DERIPHYLLIN RTD 150 30 BW,30.58,1,"August, 2024",3.06,12,2.94,27.52,13-Jan-22
SAFEVIT-CZ TAB,90,1,"May, 2023",9,12,8.68,81,13-Jan-22
NEPCINAC EYE DROP 5ML,176,1,"March, 2023",17.6,12,16.98,158.4,13-Jan-22
PANZEL-DSR,95,0.6,"June, 2024",5.7,12,5.5,51.3,13-Jan-22
AZIBIZ-500 TAB,71.7,1,"April, 2023",7.17,12,6.92,64.53,13-Jan-22
DOSYL CAP,182.5,1,"October, 2022",18.25,18,25.06,164.25,13-Jan-22
DICLOGESIC TAB 10 SBW,45.8,0.6,"April, 2022",2.75,12,2.64,24.73,13-Jan-22
COECORTT-6 TAB,126,2,"January, 2023",0,12,27,252,13-Jan-22
AMLODAC 10 TAB 30 S,170.58,0.333,"April, 2023",5.69,12,5.48,51.17,13-Jan-22
ZITEN M20/500MG TAB 15 S,263,1,"June, 2023",26.3,12,25.36,236.7,13-Jan-22
RABICRIS-DSR TAB 10 S,73.7,1,"April, 2023",7.37,12,7.1,66.33,13-Jan-22
SWITGLIM-M 2/1000 TAB,64,1,"June, 2023",6.4,12,6.18,57.6,13-Jan-22
ECOSPRIN-AV 75 CAP 15 S,55.16,0.667,"January, 2023",3.68,12,3.54,33.09,13-Jan-22
TORLEVA 250 TAB,65.25,1,"January, 2023",6.53,12,6.3,58.72,13-Jan-22
ECOSPRIN-AV 75/20 CAP 10 SF,35.76,1,"February, 2023",3.58,12,3.44,32.18,13-Jan-22
TAZLOC 40MG TAB 10 SF,73.58,1,"August, 2023",7.36,12,7.1,66.22,13-Jan-22
WATER FOR INJ(NIRLIFE)5ML,2.5,3,,0,0,0,7.5,13-Jan-22
AMLOKIND 5 TAB,20,2,"June, 2024",4,12,3.86,36,13-Jan-22
RANTAC 150 TAB 30 S,36.79,0.333,"March, 2023",1.23,12,1.18,11.03,13-Jan-22
ATEN 50MG TAB 14 S,28.04,1,"March, 2024",2.8,12,2.7,25.24,13-Jan-22
LASILACTONE 50MG 10 S,48.73,1,"June, 2024",4.87,12,4.7,43.86,13-Jan-22
CANDYCOP TOOTHPASTE 70GM,133,1,"August, 2023",13.3,18,18.26,119.7,13-Jan-22
CALPOL 650 TAB 15 S,30.91,1,"August, 2024",3.09,12,2.98,27.82,13-Jan-22
LEVOCET-M TAB 10 SA,90,1,"July, 2023",9,12,8.68,81,13-Jan-22
POLYBION LC SYP 400ML,218.9,1,"February, 2023",21.89,12,21.1,197.01,13-Jan-22
DROTIN-M TAB 10 SBR,176.14,1,"August, 2023",17.61,12,16.98,158.53,13-Jan-22
PREGABID 75 TAB,215,1,"August, 2023",21.5,12,20.74,193.5,13-Jan-22
TRAJENTA 5 TAB 10 SA,515,1,"September, 2023",51.5,12,49.66,463.5,13-Jan-22
AZULIX-2 TAB 10 SBW,63.8,2,"August, 2023",12.76,12,12.3,114.84,13-Jan-22
FORACORT 400 R/C 30 S,216.72,1,"September, 2023",21.67,12,20.9,195.05,13-Jan-22
BECOZYME C FORTE TAB 15 S,22.74,1,"February, 2023",2.27,12,2.2,20.47,13-Jan-22
ADIRAB-DSR CAP,92,1.5,"February, 2022",0,12,14.78,138,13-Jan-22
GEMCAL XT TAB,310,1,"August, 2023",0,12,33.22,310,13-Jan-22
PACIMOL 650 TAB,30.91,1,"October, 2023",3.09,12,2.98,27.82,13-Jan-22
GRILINCTUS BM SYP 100ML,96.68,1,"January, 2022",9.67,12,9.32,87.01,13-Jan-22
OTRIVIN MOISTURING PEAD 10ML,83.49,1,"June, 2023",8.35,12,8.06,75.14,13-Jan-22
